Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
South Africa,2022,Ebola,Respiratory,17.66,1.67,5.28,19-35,Other,993518,87.27,4.1,4.91,Medication,27808,No,73.32,889,2.3,51586,0.66,72.85
Brazil,2020,Zika,Respiratory,5.89,2.9,3.98,19-35,Male,454532,67.03,1.2,4.42,Therapy,31436,No,82.06,2827,8.66,16930,0.58,45.17
Japan,2018,Rabies,Respiratory,3.31,6.25,2.68,0-18,Male,88095,77.67,4.07,7.49,Therapy,45279,Yes,71.17,4795,8.06,47006,0.47,24.9
Germany,2023,Alzheimer's Disease,Respiratory,16.45,3.95,8.74,19-35,Other,834448,66.39,2.6,4.53,Surgery,47100,Yes,94.73,1557,4.78,78359,0.85,21.65
Nigeria,2020,Cancer,Respiratory,3.88,13.45,8.58,19-35,Male,803933,89.4,0.67,1.76,Therapy,17505,Yes,90.08,1043,9.92,42037,0.67,51.34
USA,2020,Hepatitis,Respiratory,17.67,9.37,3.4,0-18,Female,313492,84.36,3.64,0.94,Surgery,36079,Yes,70.67,2500,9.59,82420,0.84,83.18
Japan,2023,Cholera,Respiratory,18.02,2.45,9.39,0-18,Male,363410,94.4,2.62,5.52,Medication,35567,Yes,93.96,1976,0.49,29929,0.66,88.58
South Africa,2020,Tuberculosis,Respiratory,17.34,9.4,3.23,36-60,Male,407296,63.59,2.2,1.39,Vaccination,2034,Yes,60.59,3903,4.6,17291,0.56,33.45
Indonesia,2018,HIV/AIDS,Respiratory,12.38,9.1,2.03,61+,Other,371653,83.79,1.26,9.49,Vaccination,32269,Yes,72.28,1006,0.63,32215,0.44,67.14
India,2017,Zika,Respiratory,3.15,2.95,1.33,0-18,Other,799024,80.32,2.44,8.21,Medication,28459,Yes,77.5,1547,7.07,79686,0.79,86.2
Germany,2018,Measles,Respiratory,11.11,8.88,6.44,36-60,Female,813621,50.25,4.03,4.86,Surgery,11030,Yes,93.93,3855,6.79,8682,0.72,33.8
South Africa,2023,Diabetes,Respiratory,4.31,4.58,4.06,61+,Female,488821,98.42,3.19,2.39,Therapy,19762,Yes,88.42,2136,2.2,63973,0.89,23.7
China,2022,COVID-19,Respiratory,17.12,8.01,9.83,19-35,Female,629233,51.61,1.98,0.56,Medication,15513,No,58.05,4734,3.5,67777,0.48,57.57
Germany,2019,Cancer,Respiratory,16.19,11.89,2.28,61+,Female,976329,61.83,4.2,4.8,Surgery,12792,Yes,79.13,2821,3.08,81846,0.76,72.63
Saudi Arabia,2020,Hepatitis,Respiratory,7.64,2.15,3.77,0-18,Other,326660,72.66,1.27,6.48,Medication,31498,No,65.82,4585,9.6,3399,0.64,84.51
France,2017,COVID-19,Respiratory,12.57,2.31,1.05,36-60,Male,536259,53.22,1.31,2.26,Vaccination,27553,Yes,68.6,1116,9.25,51567,0.9,61.97
Japan,2021,Hepatitis,Respiratory,10.85,7.41,3.43,0-18,Male,76517,96.94,2.28,6.46,Surgery,45283,No,64.41,4351,6.05,74833,0.55,71.54
UK,2023,Parkinson's Disease,Respiratory,18.8,2.65,8.65,36-60,Female,668275,68.02,2.73,0.95,Vaccination,4559,Yes,67.56,1810,2.03,2058,0.82,23.15
UK,2019,Polio,Respiratory,3.92,11.9,1.07,0-18,Other,523127,79.83,4.49,3.42,Vaccination,4096,Yes,59.79,1285,7.53,19410,0.85,74.97
India,2019,Measles,Respiratory,9.95,3.22,1.93,0-18,Female,619841,63.91,2.04,1.72,Therapy,44509,Yes,87.94,2591,9.34,58937,0.46,51.8
Germany,2020,Dengue,Respiratory,17.82,7.72,9.48,36-60,Female,669941,56.98,0.57,9.45,Vaccination,12715,No,83.12,3397,8.87,25344,0.47,34.79
Mexico,2023,Zika,Respiratory,13.71,2.04,1.46,19-35,Male,144794,63.99,0.67,5.71,Vaccination,48053,No,71.42,4579,9.1,54758,0.46,85.05
Australia,2023,Asthma,Respiratory,9.77,12.87,7.72,19-35,Male,227155,79.1,2.36,5.76,Surgery,4566,No,58.26,1995,8.71,74216,0.73,27.77
Italy,2021,Hypertension,Respiratory,19.98,7.79,8.49,19-35,Female,515749,59.81,1.03,6.85,Therapy,12844,Yes,90.11,3748,6.16,96968,0.65,72.85
South Africa,2018,Tuberculosis,Respiratory,12.08,2.68,8.51,19-35,Other,851000,54.47,4.98,3.93,Vaccination,21589,Yes,86.19,2341,6.54,96165,0.61,38.13
China,2019,Rabies,Respiratory,3.38,8.04,4.19,36-60,Male,275697,75.31,3.02,8.35,Therapy,49963,No,94.31,2459,2.2,81596,0.45,34.69
Nigeria,2021,COVID-19,Respiratory,1.49,7.93,8.64,19-35,Female,829855,86.3,4.72,2.11,Vaccination,20741,No,70.14,3775,4.71,43302,0.47,32.71
Argentina,2019,Alzheimer's Disease,Respiratory,2.31,0.78,2.99,0-18,Other,584341,71.5,4.19,4.78,Surgery,12435,No,74.21,3010,1.08,53365,0.68,48.28
Canada,2018,Asthma,Respiratory,2.38,2.02,0.3,0-18,Male,666741,64.53,2,5.82,Surgery,42155,Yes,74.22,3508,5.23,52619,0.83,48.42
India,2022,Tuberculosis,Respiratory,5.96,7.58,8.76,61+,Other,676518,90.58,4.9,2.72,Vaccination,32632,Yes,89.08,1175,4.79,33155,0.69,79.09
France,2023,Hepatitis,Respiratory,13.28,5.17,3.16,0-18,Female,500235,64.44,3.69,5.31,Medication,34965,Yes,68.34,4372,5.82,1050,0.74,29.58
Turkey,2018,Hepatitis,Respiratory,11.35,9.38,0.53,61+,Male,389954,70.57,2.67,9.35,Therapy,27555,No,96.34,4992,0.78,25001,0.84,53.46
Nigeria,2023,Parkinson's Disease,Respiratory,9.51,13.95,9.35,0-18,Female,874443,69.15,4.06,6.72,Vaccination,42458,No,58.66,3820,4.22,31723,0.67,26.5
Argentina,2023,Malaria,Respiratory,7.28,0.61,0.41,0-18,Other,192130,77.26,3.43,1.17,Vaccination,23949,Yes,80.42,3454,3.92,75501,0.87,77.51
Australia,2021,Tuberculosis,Respiratory,13.75,11.75,2.96,61+,Other,315169,53.76,1.57,8.01,Vaccination,16720,No,68.89,4635,5.84,92429,0.6,26.17
South Africa,2023,HIV/AIDS,Respiratory,18.78,13.91,8.75,36-60,Other,912968,84.51,0.84,8.84,Surgery,1134,No,69.65,544,1.24,57669,0.51,75.69
Russia,2019,Cholera,Respiratory,2.99,14.45,4.56,36-60,Female,43486,98.8,1.4,7.29,Surgery,26508,Yes,93.97,4104,8.23,92846,0.74,39.41
Nigeria,2018,Polio,Respiratory,18.57,6.38,0.57,36-60,Female,71597,86.51,2.54,8.81,Surgery,13897,Yes,91.45,384,3.15,54644,0.51,88.02
Mexico,2019,Cancer,Respiratory,14.39,11.12,1.34,36-60,Other,84651,92.86,4.19,7.04,Surgery,17887,Yes,61.15,3472,7.88,57349,0.48,72.97
Nigeria,2019,Diabetes,Respiratory,3.23,12.29,1.75,36-60,Other,834041,60.53,4.76,1.9,Vaccination,22115,Yes,54.12,3795,5.06,7404,0.69,73.27
Argentina,2020,Influenza,Respiratory,12.88,3.3,4.56,0-18,Other,221960,65.11,2.85,1.87,Surgery,21791,Yes,61.53,4755,0.81,65960,0.45,61.18
Canada,2023,COVID-19,Respiratory,11.11,6.38,8.72,0-18,Other,947904,88.73,2.7,3.33,Vaccination,10874,No,96.17,3391,7.91,49416,0.54,70.92
Germany,2017,Dengue,Respiratory,5.42,11.03,8.52,0-18,Male,264551,72.17,1.74,2.52,Vaccination,11134,No,86.59,1577,9.14,20145,0.6,57.53
South Korea,2021,Alzheimer's Disease,Respiratory,9.36,10.1,5.53,0-18,Female,618412,93.88,2.22,1.5,Medication,30812,No,58.59,2020,9.34,12768,0.78,88.95
Argentina,2019,Hypertension,Respiratory,19.66,12.74,3.69,0-18,Female,303560,61.34,2.6,0.99,Therapy,15554,No,86.49,771,4.02,77828,0.54,52.58
USA,2022,Cholera,Respiratory,18.21,5.99,6.08,36-60,Other,184861,73.5,2.89,9.6,Therapy,4316,No,72.44,270,4.89,9701,0.45,81.05
Italy,2019,Tuberculosis,Respiratory,2.08,5.12,4.49,36-60,Other,513873,61.61,3.4,7.61,Medication,18087,Yes,68.3,2287,9.02,48465,0.55,50.7
UK,2018,Hepatitis,Respiratory,9.99,13.58,3.7,19-35,Male,998915,51.87,3.77,5.03,Surgery,21077,No,87.94,4374,2.58,60234,0.69,31.44
Brazil,2021,COVID-19,Respiratory,4.5,6.97,6.74,36-60,Other,99461,96.31,1.69,3.67,Therapy,34916,Yes,79.29,343,5.04,49981,0.5,24.86
Nigeria,2022,Hepatitis,Respiratory,4.76,6.52,2.77,0-18,Female,969202,98.22,2.21,0.53,Medication,22738,Yes,84.97,3117,8.34,80595,0.52,72.63
Australia,2023,Polio,Respiratory,4.42,1.44,1.37,0-18,Male,732377,94.97,3.92,9.04,Surgery,43248,No,85.14,2154,4.81,84096,0.42,61.99
UK,2023,Cancer,Respiratory,2.18,12.06,7.8,19-35,Female,470752,56.16,2.11,8.41,Surgery,40653,No,55.82,1398,1.39,81390,0.43,27.43
India,2019,Malaria,Respiratory,1.59,5.56,2.17,0-18,Male,2438,57.6,3.92,6.07,Medication,35447,Yes,88.75,3820,9.34,63811,0.56,27.67
Russia,2018,Diabetes,Respiratory,14.89,13.59,4.69,19-35,Male,593845,54.14,3.88,4.59,Medication,26789,Yes,80.69,4834,1.65,42413,0.86,73.27
Australia,2019,Cancer,Respiratory,0.92,14.49,5.89,61+,Male,603211,98.98,2.58,0.85,Vaccination,34374,Yes,75.67,4342,9.76,24522,0.75,21.61
South Korea,2021,Polio,Respiratory,1.31,7.53,4.5,0-18,Other,355986,87.65,2.92,6.86,Medication,2785,No,86.7,3554,8.24,73684,0.64,55.97
France,2019,Diabetes,Respiratory,0.59,7.5,0.49,0-18,Other,792424,84.02,4.96,1.4,Therapy,47740,Yes,63.79,3728,2.36,98099,0.75,65.48
Russia,2018,Parkinson's Disease,Respiratory,2.29,10.69,7.27,0-18,Female,881606,69.78,3.61,2.3,Therapy,12967,Yes,98.73,4491,1.09,22294,0.65,77.55
Argentina,2018,Malaria,Respiratory,16.91,3.21,4.14,19-35,Other,853567,80.93,2.38,8.98,Surgery,29876,No,81.58,4861,5.14,55901,0.9,42.24
Saudi Arabia,2019,Cholera,Respiratory,14.35,4.06,7.67,0-18,Female,260145,97.06,2.28,8.98,Vaccination,12155,Yes,62.45,294,5.22,39928,0.73,89.02
Saudi Arabia,2019,COVID-19,Respiratory,17.52,7.88,5.97,19-35,Male,902285,55.93,4.95,1.29,Vaccination,25463,No,80.94,4670,9.55,5878,0.59,77.53
Russia,2020,Cholera,Respiratory,14.89,13.84,8.12,61+,Male,2939,99.37,0.66,1.72,Therapy,33568,Yes,83.54,3636,9.34,58666,0.45,62.62
Italy,2021,Alzheimer's Disease,Respiratory,0.2,11.06,7.55,0-18,Other,901333,98.69,4.98,3.82,Medication,40583,Yes,60.38,3987,3.59,80213,0.67,80.36
South Korea,2023,Malaria,Respiratory,17.2,2.8,4.31,19-35,Other,235925,87.78,3.4,1.2,Medication,6589,No,79.5,2282,3.74,68488,0.68,23.91
France,2017,Cancer,Respiratory,15.24,13.55,1.33,0-18,Other,12822,77.44,2.23,5.39,Medication,18032,No,88.73,1462,4.53,7092,0.64,22.98
Russia,2021,HIV/AIDS,Respiratory,16.49,6.27,9.44,36-60,Male,20135,97.97,2.2,3.2,Medication,24711,No,76.82,3356,7.06,75183,0.84,37.43
Turkey,2017,Zika,Respiratory,19.06,0.34,5.04,36-60,Other,807455,74.01,3.67,7.69,Surgery,1218,No,81.93,830,4.98,37865,0.54,30.82
USA,2020,Polio,Respiratory,1.68,8.35,6,0-18,Male,945628,73.51,2.9,8.9,Medication,48880,Yes,91.81,4143,0.37,73845,0.54,65.81
Germany,2021,Rabies,Respiratory,17.86,11.34,7.04,19-35,Male,471382,57.08,3.73,7.14,Therapy,2793,No,89.54,16,1.29,36051,0.54,87.79
India,2022,Measles,Respiratory,11.33,4.03,0.68,0-18,Other,78819,64.4,1.27,4.1,Medication,11654,No,69.21,3394,0.34,75786,0.56,79.36
Japan,2021,Asthma,Respiratory,7.54,11.59,4.61,36-60,Other,167026,75.33,2.1,7.7,Medication,10581,Yes,54.37,2104,4.38,42463,0.7,28.39
Australia,2017,Measles,Respiratory,0.23,10.52,2.04,19-35,Female,973923,64.5,3.77,8.6,Therapy,48521,Yes,88.42,4960,1.74,31735,0.43,73.14
Nigeria,2021,Parkinson's Disease,Respiratory,6.79,5.37,5.82,61+,Female,539616,84.13,3.3,9.23,Medication,290,No,83.86,4056,8.96,87960,0.58,85.71
Saudi Arabia,2023,Alzheimer's Disease,Respiratory,17.63,7.4,1.43,61+,Female,309382,50.46,0.64,1.47,Medication,21752,No,81.98,3857,0.12,8422,0.89,46.01
Russia,2018,Cholera,Respiratory,10.94,6.28,7.34,36-60,Female,829721,81.89,4.62,3.52,Surgery,17752,No,64.07,1437,9.82,96584,0.49,79.57
Indonesia,2018,Influenza,Respiratory,5.47,12.36,9.61,0-18,Other,91470,76.3,4.73,8.43,Vaccination,19085,Yes,70.04,1924,3.59,14059,0.89,38.55
USA,2019,Rabies,Respiratory,3.92,4.77,2.16,61+,Other,902562,71.83,3.94,7.52,Surgery,35781,Yes,79.2,1989,4.29,65346,0.87,42.27
France,2021,Measles,Respiratory,2.39,10.81,1.56,19-35,Male,43477,90.55,2.81,5.53,Vaccination,22971,Yes,94.53,2372,4.61,26484,0.86,60.31
Mexico,2023,Leprosy,Respiratory,17.41,5.68,4.98,61+,Other,651970,83.44,2.93,7.74,Therapy,5795,No,63.13,652,2.42,74420,0.82,76.39
Brazil,2021,Tuberculosis,Respiratory,8.85,4.18,4.82,61+,Other,878832,90.68,4.47,0.53,Surgery,16756,No,68.05,1638,9.14,74048,0.71,39.87
Argentina,2023,Zika,Respiratory,12.03,1.01,9.54,36-60,Female,646496,59.25,3.13,0.7,Medication,19369,Yes,95,170,8.01,89494,0.69,54.84
Mexico,2023,Measles,Respiratory,3.99,12.19,1.03,61+,Male,848606,54.41,1.5,7.57,Therapy,2051,Yes,77.96,2207,2.93,76270,0.44,22.06
Brazil,2019,Polio,Respiratory,6.72,8.54,0.65,61+,Female,120156,80.52,1,4.94,Vaccination,12503,Yes,82.25,3450,2.18,1015,0.43,62.23
Indonesia,2017,Alzheimer's Disease,Respiratory,12.52,12.03,2.53,0-18,Female,795958,71.74,3.03,5.24,Surgery,34797,No,68.66,2396,3.34,34953,0.79,32.28
Russia,2019,Hypertension,Respiratory,10.83,13.11,4.74,0-18,Other,306417,70.65,3.3,5.43,Surgery,2141,Yes,87.12,3347,7.36,70172,0.57,61.94
Italy,2019,Diabetes,Respiratory,8.31,10.97,1.02,0-18,Male,236079,69.97,3.23,9.6,Medication,38342,Yes,82.03,1094,0.97,61878,0.72,28.21
Russia,2021,Alzheimer's Disease,Respiratory,12.32,7.13,3.15,36-60,Male,176114,67.39,4.83,5,Surgery,682,Yes,85.52,3221,6.27,93074,0.52,80.12
China,2018,HIV/AIDS,Respiratory,19.44,8.68,0.47,61+,Male,421804,56.46,2.19,5.78,Medication,2629,Yes,69.3,3628,0.22,14642,0.43,50.31
South Africa,2018,Cholera,Respiratory,13.39,7.31,6.22,0-18,Male,529654,71.86,2.41,4.11,Surgery,38493,No,67.88,2688,7.83,52182,0.48,61.88
Argentina,2017,Hepatitis,Respiratory,13.45,10.56,0.16,19-35,Other,235244,80.06,3.02,5.48,Vaccination,6036,No,51.64,4723,1.04,99792,0.85,41.79
Italy,2020,Hepatitis,Respiratory,19.27,4.09,7.45,61+,Female,956489,61.21,3.52,6.88,Therapy,25407,No,70.54,1978,6.11,85997,0.75,28.48
South Korea,2020,Cancer,Respiratory,10.65,9.31,2.61,0-18,Other,409951,84.4,2.83,9.92,Therapy,46881,No,70.87,764,4.3,69996,0.63,51.62
India,2019,COVID-19,Respiratory,2.84,9.24,8.7,61+,Other,189168,86.22,3.4,3.54,Vaccination,25525,Yes,73.67,4966,1.16,66413,0.83,27.46
Indonesia,2022,Malaria,Respiratory,16.6,10.09,5.93,0-18,Male,551799,54.14,1.97,7.64,Medication,46927,No,89.64,1542,9.27,25742,0.75,79.01
Saudi Arabia,2017,Tuberculosis,Respiratory,14.86,4.79,7.06,0-18,Male,740033,82.04,2.6,8.45,Surgery,41277,No,65.9,281,6.27,67321,0.87,47.35
France,2018,Cancer,Respiratory,6.24,9.81,6.06,19-35,Other,701230,71.81,2.74,3.38,Surgery,24183,No,61.67,50,6.07,2571,0.83,68.25
Nigeria,2020,Hypertension,Respiratory,0.51,1.7,4.82,61+,Male,490700,56.26,1.01,5.42,Medication,43083,Yes,62.28,368,0.21,47693,0.56,48.74
Brazil,2019,Asthma,Respiratory,0.68,14.22,4.59,19-35,Other,20133,73.9,4.09,1.08,Vaccination,14397,No,67.43,4590,6.61,74554,0.68,62.55
Brazil,2020,Cancer,Respiratory,17.07,13.43,8.41,19-35,Female,724196,61.58,4.72,8.66,Medication,27338,No,60.15,4933,9.47,32751,0.44,50.01
France,2023,Influenza,Respiratory,16.18,6.17,1.98,0-18,Female,561620,72.34,4.28,4.07,Vaccination,31332,Yes,74.65,336,3.33,96903,0.71,80.15
India,2021,Ebola,Respiratory,3.48,4.21,6.51,19-35,Other,104164,81.32,3.4,9.41,Vaccination,5798,No,98.38,4925,3.74,11376,0.81,63.7
Italy,2018,Polio,Respiratory,3.63,1.18,1.28,36-60,Female,17764,51.75,2.08,4.18,Medication,7073,Yes,94.25,4190,3.62,38676,0.64,24.11
USA,2022,Dengue,Respiratory,5.4,14.3,6.54,36-60,Male,404016,76.72,2.07,5.95,Vaccination,24387,No,71.42,398,6.51,67572,0.56,53.91
India,2019,Dengue,Respiratory,16.35,7.64,2.21,36-60,Male,442193,87.28,1.79,3.37,Medication,15296,No,51.04,17,3.15,43403,0.82,84.82
Turkey,2023,HIV/AIDS,Respiratory,0.99,7.48,8.19,61+,Female,270858,65.15,2.74,9.48,Medication,43648,Yes,71.8,3142,9.63,33489,0.57,85.27
Mexico,2017,Cholera,Respiratory,7.86,14.95,9.32,0-18,Other,458572,61.16,1.51,2.92,Therapy,36073,No,95.15,2150,2.11,22465,0.68,66.33
Italy,2021,Parkinson's Disease,Respiratory,13.62,9.86,5.02,0-18,Other,318841,80.6,3.48,5.38,Medication,17651,Yes,53.73,4657,2.49,41803,0.8,83.82
Germany,2017,Influenza,Respiratory,16.66,10.18,4.98,0-18,Other,258797,57.87,0.93,1.98,Surgery,22735,Yes,84.54,940,2.12,98559,0.45,26.07
Italy,2020,Malaria,Respiratory,4.06,9.31,3.13,36-60,Female,121044,85.26,0.58,8.16,Surgery,39305,No,72.32,3614,5.99,88354,0.84,78.42
China,2023,Diabetes,Respiratory,3.67,3,3.88,36-60,Male,529836,69.57,4.34,1.03,Surgery,9886,No,70.47,4568,3.4,5350,0.59,63.18
Japan,2018,Dengue,Respiratory,3,4,7.97,61+,Other,791973,52.38,4.05,5.57,Therapy,22106,No,86.62,1958,7.53,99506,0.45,67.98
France,2023,Diabetes,Respiratory,13.6,5.38,0.78,61+,Female,694117,91.52,0.9,8.66,Surgery,8093,Yes,70.37,2243,7.11,27918,0.71,37.91
France,2019,Diabetes,Respiratory,18.12,10.71,0.3,36-60,Other,541895,82.74,1.12,5.06,Therapy,8354,No,96.68,2613,5.42,94082,0.81,62.51
Argentina,2019,Polio,Respiratory,14.1,7.8,3.04,61+,Male,122087,73.82,4.87,7.05,Surgery,26458,Yes,69.14,3122,5.9,69468,0.75,87.54
Australia,2019,Rabies,Respiratory,9.94,14.47,9.51,19-35,Male,14969,82.44,1.48,9.29,Surgery,27644,Yes,65.89,4824,9.87,15754,0.56,55.44
India,2018,Influenza,Respiratory,13.9,5.97,4.57,19-35,Male,711348,70.31,4.28,5.39,Therapy,36070,Yes,84.07,1330,5.91,27211,0.58,43.33
France,2021,Polio,Respiratory,13.76,14.29,9.85,19-35,Other,86230,53.13,2.48,5.27,Vaccination,26137,No,80.63,405,8.9,7372,0.48,48.79
Indonesia,2017,COVID-19,Respiratory,3.52,2,1.66,19-35,Other,62527,69.57,1.18,8.8,Vaccination,38742,Yes,60.77,3807,1.65,65784,0.43,30.88
Germany,2017,Influenza,Respiratory,4.27,11.29,0.69,0-18,Other,660704,78.07,1.53,8.15,Surgery,42351,Yes,56.17,444,6.11,12041,0.4,83.81
Russia,2021,COVID-19,Respiratory,19.6,3.68,4.42,0-18,Female,779558,95.79,1.86,8.43,Medication,6062,No,98.19,4236,7.98,63748,0.61,30.41
Italy,2018,Parkinson's Disease,Respiratory,7.85,13.56,6.48,61+,Male,7259,81.85,3.61,1.44,Surgery,40064,Yes,82.69,3836,0.85,44965,0.53,82
Italy,2020,HIV/AIDS,Respiratory,18.73,10.24,5.06,19-35,Other,812764,85.51,3.97,3.95,Surgery,46197,Yes,76.5,1889,4.11,47506,0.56,42.27
Japan,2023,COVID-19,Respiratory,9.26,3.84,4.94,0-18,Other,171258,85.81,4.72,5.13,Therapy,19567,No,81.19,3746,9.45,21480,0.82,68.82
Canada,2022,Ebola,Respiratory,15.01,3.42,2.59,19-35,Male,113288,64.26,3.95,1.91,Medication,13388,No,92.74,2981,7.58,74000,0.87,87.27
Argentina,2020,Ebola,Respiratory,15.06,8.21,4.69,36-60,Male,1315,61.15,3.7,7.37,Vaccination,5479,Yes,70.25,4442,8.76,11450,0.68,41.32
Russia,2023,Alzheimer's Disease,Respiratory,15.63,10.26,6.05,61+,Female,432129,52.78,2.1,3.62,Therapy,18156,No,84.68,2047,7.52,18009,0.66,51.03
Canada,2020,Ebola,Respiratory,5.74,14.58,2.1,36-60,Other,715631,51.88,2.21,2.45,Vaccination,32730,No,70.61,996,2.27,41960,0.47,72.42
South Africa,2019,Cholera,Respiratory,13.12,12.64,2.55,61+,Male,189903,72.35,3.6,2.46,Medication,45886,No,95.03,1046,1.29,76643,0.73,54.96
Russia,2017,Malaria,Respiratory,18.97,2.13,5.96,19-35,Other,47359,78.08,1.42,0.95,Surgery,31034,Yes,98.91,3380,7.6,91957,0.78,82.21
Australia,2020,Leprosy,Respiratory,13.47,10.34,2.53,19-35,Male,821972,57.44,2.19,6.78,Medication,30008,Yes,95.09,187,8.78,88469,0.8,83.74
South Korea,2017,Leprosy,Respiratory,6.42,0.11,5.88,61+,Other,130792,89.1,4.96,3.18,Vaccination,35117,No,70.42,2684,8.24,96018,0.58,57.06
Brazil,2022,Alzheimer's Disease,Respiratory,0.61,14.7,0.42,61+,Male,105866,75.22,1.59,4.02,Vaccination,21779,No,63.07,3037,7.36,87387,0.66,43.63
Argentina,2021,Ebola,Respiratory,6.66,4.55,1.44,19-35,Other,814898,78.77,2.35,6.21,Medication,6416,Yes,85.07,2408,0.34,15956,0.51,89.2
South Korea,2019,Cholera,Respiratory,18.79,14.9,1.55,61+,Other,200699,57.53,0.84,7.39,Medication,25313,Yes,54.14,2948,9.59,85185,0.57,21.21
South Korea,2019,Parkinson's Disease,Respiratory,7.85,12.75,6.21,19-35,Other,172216,65.22,3.29,6.07,Vaccination,28164,Yes,81.77,4607,7.48,97237,0.51,64.36
Japan,2018,COVID-19,Respiratory,17.79,5.48,2.98,0-18,Male,808331,92.06,3.43,9.59,Medication,44517,Yes,83,1504,9.89,56679,0.48,20.74
South Korea,2021,Zika,Respiratory,19.08,7.35,8.08,0-18,Male,708405,57.93,2.74,0.98,Surgery,46324,No,85.43,4222,2.57,19371,0.71,36.26
Australia,2022,Parkinson's Disease,Respiratory,8.09,6.81,5.72,19-35,Female,284352,95.32,4.19,3.67,Medication,37392,No,74.31,4583,2.11,54103,0.49,80.53
Turkey,2022,Malaria,Respiratory,11.98,8,8.54,36-60,Male,509956,84.05,1.09,6.74,Medication,282,Yes,72.89,4654,4.86,5865,0.82,27.46
Brazil,2022,Zika,Respiratory,14.74,11.23,3.55,19-35,Male,666907,52.64,2.01,9.46,Vaccination,33540,No,75.08,1904,4.78,32076,0.75,80.42
USA,2019,Polio,Respiratory,5.43,1.93,5,61+,Other,693570,83.97,4.35,5.78,Medication,26764,No,75.25,4453,3.72,29465,0.78,43.92
Argentina,2019,Asthma,Respiratory,14.23,5.37,2.2,36-60,Female,5662,87.81,1.7,5.76,Medication,1510,No,87.79,1755,8.76,21711,0.58,83.54
India,2020,Polio,Respiratory,5.09,9.09,6.3,61+,Male,79287,84.03,2.08,5.46,Surgery,6190,Yes,93.35,814,6.38,522,0.69,21.52
China,2022,Parkinson's Disease,Respiratory,12.34,3.5,0.97,36-60,Female,173545,70.59,3.56,8.81,Vaccination,6498,Yes,93.1,1711,8.46,26598,0.66,79.79
Turkey,2021,Tuberculosis,Respiratory,12.84,8.54,2.45,36-60,Male,256641,65.42,2.77,1.42,Therapy,6487,No,77.75,3280,9.66,35151,0.6,38.95
South Korea,2018,Tuberculosis,Respiratory,1.87,2.71,8.79,19-35,Other,368063,71.06,2.13,0.76,Therapy,46774,Yes,70.82,4952,3.35,64360,0.44,79.12
USA,2018,COVID-19,Respiratory,5.61,7.66,8.82,61+,Other,87417,55.22,4.14,9.31,Vaccination,26052,No,77.34,3245,0.76,80435,0.79,71.52
Saudi Arabia,2020,Asthma,Respiratory,3.04,11.22,3.21,0-18,Female,277403,56.66,1.81,7.71,Surgery,44937,No,66.23,3532,3.88,46320,0.52,46.83
Germany,2022,Tuberculosis,Respiratory,16.48,2.35,0.85,36-60,Other,834387,63.96,2.56,6.3,Surgery,13917,No,79.96,1485,3.68,19097,0.54,22.32
China,2019,Asthma,Respiratory,3.6,12.07,4.09,61+,Female,805670,99.95,1.23,7.63,Vaccination,39537,Yes,80.32,3939,1.93,36361,0.62,53.25
Germany,2021,Ebola,Respiratory,18.09,7.44,5.38,0-18,Other,254900,81.96,3.85,9.14,Vaccination,9209,Yes,79.82,4708,6.21,7820,0.72,63.3
China,2022,Tuberculosis,Respiratory,19.92,9.86,3.15,36-60,Male,402414,98.46,1.41,9.49,Vaccination,18177,Yes,53.68,227,2.91,62676,0.78,30.85
Canada,2021,Ebola,Respiratory,15.84,2.72,3.68,0-18,Male,178571,67.79,1.15,0.61,Surgery,46846,Yes,86.14,1853,7.07,88006,0.79,64.11
Australia,2022,Hypertension,Respiratory,6.45,12.32,6.38,19-35,Male,850864,85.86,1.2,0.9,Vaccination,49621,No,77.87,1599,9.87,19218,0.43,30.62
Japan,2019,Polio,Respiratory,8.58,14.9,5.97,36-60,Female,172480,68.72,4.68,3.69,Medication,39303,No,70.94,1563,6.07,99973,0.61,35.26
India,2018,Ebola,Respiratory,16.51,1.96,6.2,0-18,Male,614894,55.24,1.69,2.05,Therapy,36971,Yes,55.46,2958,2.98,1359,0.7,76.53
Canada,2019,Asthma,Respiratory,10.39,10.84,0.54,61+,Female,548754,98.67,0.98,5.16,Medication,2431,Yes,67.47,2974,7.01,10962,0.41,28.97
China,2019,COVID-19,Respiratory,9.65,8.96,7.07,36-60,Female,7139,60.58,1.36,8.99,Surgery,38709,No,74.67,798,4.33,57216,0.89,29.49
France,2021,Tuberculosis,Respiratory,5.91,12.56,5.07,0-18,Other,988913,82.69,4.4,4.75,Medication,33908,No,73.83,452,6.19,96101,0.61,85.24
Canada,2018,Hepatitis,Respiratory,18.48,2.48,7.73,0-18,Male,8905,93.76,2.64,1.12,Vaccination,27805,No,71.69,3077,0.88,23881,0.87,73.3
Germany,2020,Hypertension,Respiratory,0.41,5.14,8.88,36-60,Other,541009,55.07,2.36,5.3,Surgery,37993,No,56.42,548,8.45,80322,0.7,68.36
